Año,Evaluación,Nivel,Grado,UGEL,Gestión,Area,Característica,Ubigeo,Región,Provincia,Distrito,Centro Poblado,Código Modular,Anexo,Nombre de la IE,Sección,Area Academica,Estudiantes programados,Puntaje Promedio,Secciones evaluadas,Cantidad Previo al inicio,Cantidad En inicio,Cantidad En proceso,Cantidad Satisfactorio
2024,ECE 2024,Primaria,CUARTO,UGEL Cotabambas,ESTATAL,URBANA,UNIDOCENTE / MULTIGRADO,30506,APURÍMAC,COTABAMBAS,CHALLHUAHUACHO,CHALLHUAHUACHO,1739275,0,1001,A,Lectura,16,471,1,,5,7,2
2024,ECE 2024,Primaria,CUARTO,UGEL Cotabambas,ESTATAL,URBANA,UNIDOCENTE / MULTIGRADO,30506,APURÍMAC,COTABAMBAS,CHALLHUAHUACHO,CHALLHUAHUACHO,1739275,0,1001,A,Matemática,16,479,1,1,3,6,4
2024,ECE 2024,Primaria,CUARTO,UGEL Cotabambas,ESTATAL,RURAL,UNIDOCENTE / MULTIGRADO,30506,APURÍMAC,COTABAMBAS,CHALLHUAHUACHO,CHILA,411355,0,50664,A,Matemática,9,517,1,,,4,3
2024,ECE 2024,Primaria,CUARTO,UGEL Cotabambas,ESTATAL,RURAL,UNIDOCENTE / MULTIGRADO,30506,APURÍMAC,COTABAMBAS,CHALLHUAHUACHO,CHILA,411355,0,50664,A,Lectura,9,559,1,,,3,4
2024,ECE 2024,Primaria,CUARTO,UGEL Abancay,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30101,APURÍMAC,ABANCAY,ABANCAY,ABANCAY,285593,0,54009,B,Matemática,39,444,1,3,4,13,2
2024,ECE 2024,Primaria,CUARTO,UGEL Abancay,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30101,APURÍMAC,ABANCAY,ABANCAY,ABANCAY,285593,0,54009,A,Matemática,39,405,1,6,2,4,2
2024,ECE 2024,Primaria,CUARTO,UGEL Abancay,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30101,APURÍMAC,ABANCAY,ABANCAY,ABANCAY,285593,0,54009,A,Lectura,39,454,1,,8,3,3
2024,ECE 2024,Primaria,CUARTO,UGEL Abancay,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30101,APURÍMAC,ABANCAY,ABANCAY,ABANCAY,285593,0,54009,B,Lectura,39,453,1,,9,10,3
2024,ECE 2024,Primaria,CUARTO,UGEL Abancay,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30101,APURÍMAC,ABANCAY,ABANCAY,ABANCAY,285601,0,54010,C,Lectura,84,481,1,1,9,8,10
2024,ECE 2024,Primaria,CUARTO,UGEL Abancay,ESTATAL,URBANA,POLIDOCENTE COMPLETA,30101,APURÍMAC,ABANCAY,ABANCAY,ABANCAY,285601,0,54010,C,Matemática,84,476,1,5,6,6,11
